"Time","AvgSteps","AvgIntensity","Calories"
12:00:00 AM,42,2.13,72
1:00:00 AM,23,1.42,70
2:00:00 AM,17,1.04,69
3:00:00 AM,6,0.44,68
4:00:00 AM,13,0.63,68
5:00:00 AM,44,4.95,82
6:00:00 AM,179,7.77,87
7:00:00 AM,306,10.73,94
8:00:00 AM,428,14.67,103
9:00:00 AM,433,15.39,106
10:00:00 AM,482,17.64,110
11:00:00 AM,457,16.92,110
12:00:00 PM,549,19.85,117
1:00:00 PM,538,18.78,115
2:00:00 PM,541,18.87,116
3:00:00 PM,406,15.58,107
4:00:00 PM,497,17.72,113
5:00:00 PM,550,21.66,123
6:00:00 PM,599,21.92,123
7:00:00 PM,583,21.39,121
8:00:00 PM,354,14.34,102
9:00:00 PM,308,12.07,96
10:00:00 PM,238,9.06,88
11:00:00 PM,122,5.00,78
